"geneName","geneScore"
"PIK3CA",0.71478
"TP53",0.15346
"Unknown",0.14323
"MAP3K1",0.12528
"TTN",0.1234
"KMT2C",0.10495
"GATA3",0.081398
"RYR2",0.074928
"MUC16",0.068711
"CROCCP2",0.066016
"MAP2K4",0.063777
"CDH1",0.063588
"ATM",0.062672
"MUC17",0.052072
"PCNXL2",0.04948
"CACNA1E",0.048281
"NCOR1",0.046483
"FLG",0.045796
"NEB",0.045611
"USH2A",0.044832
"SMARCA4",0.043466
"AHNAK2",0.042807
"RYR3",0.041464
"OR4K14",0.041111
"AGAP3",0.040931
"XIRP2",0.040183
"SYNE2",0.039033
"OR6A2",0.03849
"PRRX1",0.038462
"MAP2",0.037815
"SYNE1",0.037664
"DNAH2",0.037623
"MDN1",0.037186
"NF1",0.036459
"DHX57",0.036272
"CYFIP2",0.036005
"RTL1",0.035887
"RP11-32B5.7",0.035271
"RAPGEF6",0.035189
"NHSL2",0.034751
"CBLB",0.034307
"PLXNA4",0.034256
"PKHD1L1",0.033972
"PCDHGB6",0.033671
"ERV3-1",0.033399
"TMC5",0.033181
"CBFB",0.032765
"NAV1",0.032652
"WHSC1",0.032411
"PTEN",0.031788
"BAI3",0.031755
"ASH1L",0.031622
"SRGAP1",0.03162
"ZNF536",0.031249
"DOCK11",0.031197
"ERCC6",0.031085
"ITGAV",0.031049
"APOBR",0.031028
"BAZ1B",0.030994
"RUNX1",0.030992
"FNBP4",0.030915
"SVEP1",0.030875
"CSMD1",0.030717
"CACNA1A",0.03068
"CACNA1C",0.03061
"ALDOA",0.030472
"RGS4",0.03025
"SLC4A5",0.030229
"SSPO",0.03022
"PSMD1",0.029963
"FOLR4",0.029961
"KRT38",0.02983
"TPR",0.029822
"POM121",0.029757
"NUP205",0.029691
"PLS3",0.029582
"TLN1",0.029508
"ALPK1",0.029323
"ZFHX4",0.029284
"SCN10A",0.029232
"PDZD2",0.029112
"TRRAP",0.029047
"LRPPRC",0.028918
"TRAPPC12",0.028795
"THSD7A",0.028654
"DNAH7",0.028654
"CTCF",0.028631
"SF3B1",0.028583
"RP11-142A23.1",0.028559
"CCDC180",0.028547
"INTU",0.027988
"SPEN",0.027957
"BRWD3",0.027879
"DNAH6",0.027635
"KIF26B",0.027608
"LIFR",0.02759
"NLRC3",0.027487
"NLRP2",0.027104
"VWF",0.027051
"FREM2",0.027049
