"clinival_var","score_clini"
"patient.genderfemale",0.36282
"X.clinical.patients..cols..infiltrating.ductal.carcinoma",0.36011
"Node.CodedPositive",0.35642
"HER2.Final.StatusNegative",0.35554
"patient.breast_carcinoma_estrogen_receptor_statuspositive",0.35483
"patient.breast_carcinoma_progesterone_receptor_statusnegative",0.35293
"X.clinical.patients..cols..Stage.IIIA",0.34283
"NA(54,60]",0.34179
"patient.breast_carcinoma_progesterone_receptor_statuspositive",0.010576
"patient.breast_carcinoma_estrogen_receptor_statusnegative",0.0087565
