"clinival_var","score_clini"
"patient.genderfemale",0.39078
"X.clinical.patients..cols..infiltrating.ductal.carcinoma",0.38645
"HER2.Final.StatusNegative",0.38325
"patient.breast_carcinoma_estrogen_receptor_statuspositive",0.38239
"patient.breast_carcinoma_progesterone_receptor_statuspositive",0.38099
"X.clinical.patients..cols..Stage.IIA",0.37014
"NA(42,48]",0.34831
"Node.CodedPositive",0.015678
"patient.breast_carcinoma_progesterone_receptor_statusnegative",0.013998
"patient.breast_carcinoma_estrogen_receptor_statusnegative",0.012634
