"clinival_var","score_clini"
"patient.genderfemale",0.35814
"X.clinical.patients..cols..infiltrating.ductal.carcinoma",0.35712
"Node.CodedPositive",0.35511
"HER2.Final.StatusNegative",0.35484
"patient.breast_carcinoma_progesterone_receptor_statusnegative",0.35395
"X.clinical.patients..cols..No_Conversion",0.35173
"patient.breast_carcinoma_estrogen_receptor_statusnegative",0.34953
"NA(27,32]",0.34767
"patient.breast_carcinoma_estrogen_receptor_statuspositive",0.0090934
"patient.breast_carcinoma_progesterone_receptor_statuspositive",0.0047625
