"clinival_var","score_clini"
"patient.genderfemale",0.35596
"X.clinical.patients..cols..infiltrating.ductal.carcinoma",0.35489
"patient.breast_carcinoma_estrogen_receptor_statuspositive",0.35445
"HER2.Final.StatusNegative",0.35439
"patient.breast_carcinoma_progesterone_receptor_statuspositive",0.35337
"Node.CodedPositive",0.35312
"X.clinical.patients..cols..No_Conversion",0.35173
"NA(22,27]",0.35044
"patient.breast_carcinoma_progesterone_receptor_statusnegative",0.002766
"patient.breast_carcinoma_estrogen_receptor_statusnegative",0.0017319
