"gene","geneScore"
"HER2.Final.StatusPositive",0.918694834705796
"X.clinical.patients..cols..infiltrating.ductal.carcinoma",0.648787328122271
"patient.breast_carcinoma_estrogen_receptor_statuspositive",0.5224477000828
"patient.genderfemale",0.497495982296481
"patient.breast_carcinoma_progesterone_receptor_statuspositive",0.354630401262479
"patient.breast_carcinoma_progesterone_receptor_statusnegative",0.196772860315002
"NA(48,54]",0.127904606849889
"NA(10,16]",0.109508749541641
"X.clinical.patients..cols..Stage.IIB",0.0571820153295214
"NA(32,37]",0.0539984023309474
