"gene","geneScore"
"X.clinical.patients..cols..Stage.IIA",1.46989459294946
"patient.genderfemale",0.142458264875672
"Tumor.CodedT1",0.0808929079339977
"X.clinical.patients..cols..other..specify",0.0645172096563719
"NA(42,48]",0.0546483243813185
"Node.CodedPositive",0.0439404513487751
"X.clinical.patients..cols..mixed.histology..please.specify.",0.0208782332912968
"patient.breast_carcinoma_progesterone_receptor_statusindeterminate",0.014721888710577
"NA(10,16]",0.0110335380845915
"HER2.Final.StatusEquivocal",0.00720919887940449
