"geneName","geneScore"
"TTN",0.11475
"Unknown",0.11279
"MUC16",0.11059
"BRCA2",0.10436
"PREX2",0.10414
"MUC5B",0.1028
"PCNXL2",0.10198
"DSCAML1",0.10015
"DNAH5",0.10011
"UBR4",0.10001
"GRIA1",0.099681
"OR2G3",0.099558
"ABCC12",0.099408
"TCHH",0.09928
"C1orf65",0.099255
"COL12A1",0.099226
"ANKRD36C",0.09916
"RP5-1182A14.5",0.09898
"MROH7",0.09894
"CSMD2",0.098935
"PTCHD3",0.09874
"RELN",0.098735
"MYH11",0.098706
"BAI1",0.098607
"COL6A6",0.098549
"UNC5D",0.098104
"HSD17B4",0.098089
"LINC00869",0.09797
"PLEC",0.09763
"KIAA0825",0.097497
"DALRD3",0.097438
"HSPG2",0.097399
"AKAP6",0.097399
"CELSR2",0.097324
"EPN3",0.097306
"XIRP1",0.097304
"ADAMTS6",0.097282
"ABCA4",0.09726
"HSPA4",0.097228
"ZNF438",0.097178
"ZSCAN32",0.097104
"ANKRD50",0.097033
"ZNF318",0.096937
"TTYH2",0.096921
"SMEK2",0.096867
"CSPP1",0.09669
"NUP98",0.096651
"RAI1",0.096543
"LETM1",0.096521
"RNU6-351P",0.09639
"DOCK2",0.096378
"AGT",0.096271
"WDR33",0.096227
"HRCT1",0.096214
"DDX12P",0.096173
"ZNF528",0.096088
"ADAMTS19",0.095993
"TCF12",0.095983
"ASPH",0.095916
"VASN",0.095908
"ABCA6",0.095859
"BAHD1",0.095789
"NPAT",0.095665
"CLSTN2",0.095594
"AHCTF1",0.095551
"PPRC1",0.095473
"SLC22A11",0.095433
"CYP4F11",0.095378
"TECPR2",0.095357
"AC116050.1",0.095321
"ACSM5",0.095296
"POLR2A",0.095284
"CXorf22",0.095274
"PDGFRA",0.095247
"ARMCX1",0.095213
"TMEM247",0.095187
"RP1L1",0.09515
"PCSK9",0.095137
"LRRN2",0.095111
"TAS2R16",0.095104
"NUDCD3",0.095085
"HERC2P4",0.094999
"SNTG2",0.094962
"IDI1",0.094952
"NBAS",0.094913
"CASR",0.094892
"KLRG2",0.09488
"AGL",0.094876
"EEF2",0.094871
"SLITRK6",0.094831
"NTNG1",0.094783
"TTC3",0.094773
"KIAA0195",0.094755
"SMARCA4",0.094673
"MYO7B",0.094664
"C4orf21",0.094621
"UGT2B15",0.09459
"SMG1",0.094587
"ALK",0.094574
"HEATR1",0.094463
