"geneName","geneScore"
"TP53",0.12025
"Unknown",0.11231
"TTN",0.1087
"KMT2C",0.10624
"CROCCP2",0.10443
"MUC16",0.10082
"SPI1",0.097281
"MUC4",0.097047
"UBR4",0.095501
"WDFY3",0.095352
"SYNE2",0.094924
"VCAN",0.094191
"LRP2",0.094008
"PKD1L1",0.093899
"SPEN",0.093711
"HYDIN",0.093439
"SETD2",0.093231
"UBA6",0.092983
"BLM",0.092859
"NBPF1",0.092834
"DYNC2H1",0.092769
"KIFC1",0.092749
"HDAC6",0.092739
"MYH1",0.092613
"ELF3",0.092561
"KMT2A",0.092502
"DMKN",0.09236
"NLRC4",0.0923
"KCNH7",0.092222
"NRXN3",0.092195
"SMCHD1",0.092184
"GCC2",0.092143
"DLG1",0.09211
"ZCWPW1",0.092013
"USP34",0.091945
"ZNF821",0.091922
"CHGB",0.091896
"DSE",0.091879
"PTPRM",0.091824
"GON4L",0.091817
"ATP7A",0.091808
"HECW2",0.091794
"CFTR",0.09179
"MAP3K4",0.091774
"NUAK2",0.091723
"MED12",0.091656
"SAMD9L",0.091588
"PTPRD",0.091543
"BIRC6",0.091461
"ESYT1",0.091444
"YME1L1",0.091422
"SYCP2",0.091401
"FAM160A2",0.091363
"CCR2",0.091358
"ARID2",0.091313
"COL5A3",0.091233
"USP53",0.091231
"UBA1",0.091177
"POM121L12",0.091152
"CEP128",0.091147
"ANK3",0.091012
"DCLRE1C",0.091007
"KANK3",0.090979
"LRIG3",0.090965
"N4BP2",0.090859
"DCTN4",0.090747
"PPP2R3C",0.090734
"TLE6",0.090674
"ROR1",0.090599
"CATSPER2",0.090571
"PTPN22",0.090478
"EPHA5",0.090475
"TMEM82",0.090308
"DCAF12L1",0.090278
"LRRC7",0.090214
"KIAA2022",0.090149
"SMEK2",0.090149
"NUP210L",0.090125
"PDZD2",0.090123
"ABCC9",0.090118
"ARHGEF9",0.090099
"BAZ2B",0.090098
"LRRN1",0.090048
"ABCB11",0.090043
"CASR",0.090041
"DNAH11",0.089983
"DDB1",0.089958
"MORC2",0.089937
"ZNF585B",0.089893
"BMPER",0.089889
"C4orf21",0.08988
"KANK2",0.089807
"KNTC1",0.089805
"PARP9",0.089742
"PCDHB1",0.089723
"FARSB",0.089675
"TRIM49B",0.08963
"CLASRP",0.089617
"CCDC170",0.089581
"FGFR4",0.089519
"ENPP2",0.089489
"ODF2",0.089422
"CAMSAP3",0.089354
"ATP13A4",0.08935
"ADAMTS1",0.089307
"NT5E",0.089302
"WASF1",0.089279
"WDR7",0.089136
"PHC3",0.089066
"RIC8A",0.089027
"RP11-1277A3.2",0.089008
"GPR83",0.088875
"SOS1",0.088806
"PAX5",0.088737
"NXF3",0.08858
"KIF5C",0.088564
"NEO1",0.088478
"PIK3CA",0.024927
"ZFHX4",0.0079166
"GATA3",0.00752
"RYR2",0.0071345
"SRCAP",0.0061177
"SYNE1",0.0061119
"CACNA1C",0.0058718
"MAP3K1",0.0058597
"BRINP1",0.0058303
"HMCN1",0.00582
"CDH1",0.0057708
"DOPEY2",0.0056807
"QSER1",0.0055378
"CIT",0.0054041
"PTEN",0.0053335
"BRCA2",0.005054
"CACNA1E",0.0050235
"OR2L2",0.0049353
"MAP2K4",0.0048617
"THADA",0.0048496
"RP11-32B5.7",0.0048302
"ALDOA",0.0047225
"BAZ1B",0.004722
"EVPL",0.0046652
"HUWE1",0.0046001
"FAT2",0.0045803
"TG",0.004567
"USH2A",0.0044932
"BIRC8",0.004436
"ALOXE3",0.0043327
"C7",0.0043118
"MYH14",0.0042995
"GOLGA3",0.0042566
"NEB",0.0042192
"FAT3",0.0041845
"ATP11C",0.0041114
"SRGAP1",0.0041061
"DNAH6",0.0040968
"NAPA",0.004096
"FLG",0.0040854
"CSMD1",0.0040661
"TNN",0.0040583
"GRID1",0.0040453
"PCDHA1",0.0040442
"BRDT",0.0040335
"WNT7A",0.0040273
"ARHGEF25",0.0039659
"CEP192",0.0039608
"LAMA2",0.0039597
"CEP350",0.0039559
"HEG1",0.003915
"SPATA31E1",0.0038948
"MYOM2",0.0038935
"EMR2",0.0038866
"LAMA5",0.0038706
"ATAD2",0.0038686
"IARS",0.0038626
"ERCC6",0.0038573
"COL14A1",0.0038553
"PPL",0.0037927
"KIAA1614",0.0037442
"DMD",0.0037332
"SLCO5A1",0.0037304
"SLC22A23",0.003707
"LAMB2",0.0037004
"NUP153",0.0036836
"MAST4",0.0036667
"PRAME",0.0036602
"ZNF229",0.0036495
"OR6S1",0.003637
"RP11-32B5.1",0.0036293
"LRCH1",0.0036258
"RAB3GAP2",0.0036248
"PCDHGB6",0.0035898
"FAT1",0.0035816
"PAM",0.0035382
"CDH8",0.0035322
"SELP",0.0035274
"ABCC4",0.0035267
"FLG2",0.0035236
"CYP3A7",0.0035151
"SNX13",0.0035062
"SVEP1",0.0035054
"SACS",0.0035034
"EYS",0.0035019
"WDR33",0.0034858
"PLCG1",0.0034794
"ITIH6",0.0034617
"UHRF1BP1L",0.0034531
"HSPG2",0.0034503
"CA9",0.00345
"APOB",0.0034488
"ZNF268",0.00341
"DNAH9",0.0034076
"ZNF467",0.0034009
"EEF2K",0.0033925
"CSMD2",0.0033916
"GPR179",0.0033855
"TEX15",0.0033843
"CBLC",0.0033729
"STRN",0.0033726
"MED13",0.0033714
"VPS41",0.0033596
