"geneName","geneScore"
"WWC1",0.0070742
"MUSK",0.0070621
"GATAD2B",0.007045
"RB1",0.00704
"UBA1",0.0070314
"CYFIP2",0.0070145
"ALG10B",0.0070126
"PCSK5",0.0070014
"ATP10D",0.0069976
"NUP160",0.0069894
"ARID1B",0.0069455
"SLC30A5",0.0069028
"RBM6",0.0069017
"GRID1",0.0068675
"PDE6C",0.0068583
"TRPC6",0.0068498
"PCNX",0.0068323
"COL1A2",0.0068156
"UBR4",0.0068096
"FAM208B",0.00679
"CACNA1F",0.0067697
"ZNF229",0.0067119
"TMEM27",0.0066915
"KCND2",0.0066863
"RLF",0.0066566
"NXPE1",0.0065792
"ANKAR",0.0065483
"TYR",0.0065429
"TCF4",0.0065183
"ATG4A",0.0065025
"FNBP4",0.0064955
"HPS3",0.0064121
"BEST2",0.0062977
"ESYT1",0.0062389
"MYO7A",0.0062154
"VPRBP",0.0062007
"ERCC6",0.0061679
"TEP1",0.0060962
"ITGAV",0.0059526
"ABCC2",0.0059138
"KIAA1033",0.0058129
"BRCA2",0.0058107
"HECW2",0.0057947
"PCDH11X",0.0057663
"TRRAP",0.0057155
"PLEKHH1",0.0056438
"FANCA",0.0056147
"GPR64",0.0055657
"LAMB4",0.0055614
"SETX",0.0055514
"ROS1",0.0055426
"NUDCD3",0.0055283
"PKHD1",0.0055219
"AKT1",0.0054773
"CTH",0.0054767
"OBFC1",0.005455
"WDR3",0.0054183
"USH2A",0.0053809
"NLRC4",0.0053731
"PLG",0.0053629
"TRIM58",0.0053447
"CTCF",0.0053215
"TAF3",0.0053091
"CAPN1",0.0052244
"SACS",0.0052001
"RNF213",0.005194
"CCDC168",0.0051604
"CHD9",0.0051359
"MYH6",0.0051267
"CEACAM18",0.0051203
"LPHN2",0.0051067
"ACTN2",0.0051027
"TP53BP1",0.0050692
"BTN3A1",0.005063
"KIAA1432",0.0050563
"CLASRP",0.0050238
"ZNF841",0.0049891
"MUC6",0.0049854
"FAUP1",0.0049671
"DNAH9",0.0049592
"DCHS2",0.004956
"DNAH6",0.0049355
"CROCC",0.0048974
"ATP11C",0.0048921
"MUC21",0.0048894
"KIT",0.0048675
"FCGBP",0.0048653
"PLEC",0.0048552
"BRPF3",0.0048146
"NEURL4",0.0047906
"SRCAP",0.0047898
"EFCAB12",0.0047655
"PRRC2B",0.0047605
"VPS18",0.0047473
"STRN",0.0047404
"JAK1",0.0047034
"FAT1",0.0047031
"NRXN2",0.0046802
"KDM4C",0.0046779
"RP1L1",0.0046432
"VWF",0.0046286
"FOCAD",0.0046233
"SIDT2",0.0046219
"MMP3",0.0046047
"DNAJC11",0.004589
"CABIN1",0.004575
"ATP8B3",0.0045675
"HMCN1",0.0045334
"MYB",0.0045021
"NELL2",0.0044832
"KIF26B",0.0044633
"NAALADL2",0.0044478
"RP11-32B5.7",0.0044381
"FLNB",0.0044375
"MAP3K13",0.0044214
"HECTD4",0.0044206
"C15orf39",0.0044077
"FBXL19",0.0043876
"FIGN",0.0043276
"WNK3",0.0043216
"RUNX1",0.0042943
"SCN9A",0.0042857
"DIDO1",0.0042581
"CBFB",0.0042523
"ATM",0.0042386
"UBA7",0.0042323
"LINC00869",0.0042283
"PHF3",0.004224
"TNFRSF10B",0.0042142
"DNAH10",0.0042022
"PDE4D",0.0042008
"ABCA8",0.0041984
"KIF4B",0.0041867
"SH2B1",0.0041608
"PIK3R1",0.0041552
"TLR4",0.0041386
"SLC15A1",0.0041354
"SFMBT1",0.0041313
"HKR1",0.0040871
"ATAD2",0.0040838
"MORN1",0.0040829
"ATP11A",0.0040652
"CADPS2",0.0040523
"OR6S1",0.0040494
"ITGA7",0.0040455
"HUWE1",0.0040378
"TOPBP1",0.0040326
"FAM189A2",0.0040307
"PYGB",0.0040179
"CHD3",0.0039896
"RP11-1055B8.7",0.0039832
"PGLYRP2",0.0039819
"GLG1",0.0039658
"ALDH3B1",0.0039535
"LIMA1",0.0039472
"MED12",0.0039401
"RBM14",0.0039378
"NEB",0.0039338
"ZNF418",0.0039192
"EPHA3",0.0039136
"ANO5",0.0039132
"USP29",0.0039123
"XRRA1",0.003908
"ZNF467",0.0038897
"ZNF611",0.0038838
"CASP5",0.003875
"CMTR2",0.0038717
"PNLIPRP1",0.0038618
"FREM2",0.0038535
"TNKS1BP1",0.0038412
"ZNF266",0.0038406
"SVIL",0.0038237
"RBFOX1",0.0037974
"SYNE1",0.0037926
"NEK5",0.0037881
"SRRT",0.0037668
"COL12A1",0.0037659
"OR8H2",0.0037527
"WDFY2",0.0037497
"KNG1",0.0037463
"ARHGAP21",0.0037458
"COL14A1",0.0037455
"HEG1",0.0037445
"RYR3",0.0037257
"CNTLN",0.0037151
"ADAM10",0.0037135
"LCA5L",0.0036978
"SPI1",0.0036939
"ARID4B",0.0036697
"RPGR",0.0036686
"LRP1B",0.0036596
"GNAS",0.0036579
"PMS1",0.0036441
"HDLBP",0.0036422
"CASC5",0.0036399
"CALD1",0.0036391
"MYO5C",0.00363
"KCNU1",0.0036286
"PPP6R1",0.0036226
"ELOVL5",0.0036125
"ENPP4",0.0036047
"TRIM6",0.003593
"ZNF598",0.0035845
"ZNF729",0.0035666
"TGM6",0.0035542
"FRAS1",0.0035397
"NHS",0.003538
"NRXN1",0.0035334
"PTPRU",0.0035281
"CNTN4",0.0035225
"RP11-32B5.1",0.0035223
"MYRIP",0.0035214
"MAST1",0.0035201
"NEBL",0.0035051
"KCNH7",0.0034997
"MUC2",0.0034956
"SIRPG",0.0034809
"MCC",0.0034736
"MRC2",0.0034716
"RP11-321E2.13",0.0034691
"CCDC146",0.0034649
"EPHA5",0.0034628
"MALAT1",0.0034511
"TRNAU1AP",0.0034506
"SRGAP1",0.0034396
"HSPA8",0.0034208
"RP5-1182A14.5",0.0034176
"MYH1",0.0034046
"ZNF730",0.003393
"N4BP1",0.0033899
"RPL3",0.0033891
"TRPS1",0.0033872
"HPSE",0.0033817
"OTOP2",0.0033801
"ZNF445",0.0033701
"VSTM4",0.0033648
"CTNNA2",0.003337
"TG",0.0033366
"ATRX",0.0033314
"PACS2",0.0033143
"IFNL3",0.003297
"KIRREL",0.0032788
"AGBL3",0.0032581
"ADAMTS7P3",0.00323
"PARK2",0.003205
"TARS",0.0032039
"AFF2",0.003201
"ACOXL",0.0031965
"PREPL",0.0031937
"OTOF",0.0031919
"KIAA1109",0.0031694
"CACNA1B",0.003158
"NLRP2",0.0031472
"ZSWIM8",0.0031262
"TTC7B",0.0031223
"PXDN",0.0030962
"PCDHGA1",0.0030962
"C7",0.0030827
"NBN",0.0030764
"GRIN3A",0.003074
"TBL1XR1",0.0030667
"PRPF8",0.0030625
"LPO",0.0030558
"FMN2",0.0030551
"PTEN",0.0030473
"DPY19L3",0.0030426
"ZNF438",0.0030394
"C20orf26",0.0030377
"GLT8D2",0.0030318
"CFH",0.0030129
"DNAH12",0.0030079
"NPC1",0.0030058
"RTN4",0.0030057
"AKAP17A",0.0030025
"STAG1",0.0029926
"SAMD9L",0.002982
"IARS",0.0029801
"ABCA7",0.0029735
"LPA",0.0029731
"CPS1",0.002973
"PCDH9",0.0029694
"ZNF83",0.0029613
"BSN",0.0029558
"ATP7A",0.0029556
"MYO9A",0.0029549
"PDE11A",0.0029479
"CCND3",0.0029443
"MAP3K4",0.0029418
"DUS3L",0.0029328
"PKHD1L1",0.0029271
"NUP214",0.0029189
"MGA",0.0029111
"WDR96",0.0029028
"RYR2",0.0029009
"ANO2",0.0029002
"PCDHA11",0.0028991
"AC090574.1",0.0028977
"GLI2",0.0028926
"PCDH19",0.0028689
"RP11-488L18.10",0.0028644
"MAP1A",0.0028518
"TRIP11",0.0028442
"CDC42BPA",0.0028417
"ARHGAP11A",0.0028406
"GRIA1",0.0028323
"MYH8",0.0028314
"ANK1",0.002831
"GPS2",0.0028304
"MEIS2",0.0028292
"PASK",0.0028199
"CDH12",0.0028179
"NLRC5",0.0028048
"KIAA0947",0.0028027
"CHRD",0.0027944
"ARMCX2",0.0027941
"MYO9B",0.002782
"SGSM1",0.0027788
"ZNRD1-AS1",0.0027784
"SYNE2",0.0027701
"PRKDC",0.0027663
"ERCC6L2",0.0027554
"AIM1",0.0027483
"GUCY1A2",0.0027472
"ZEB2",0.0027459
"ADAMTS20",0.0027452
"SHROOM4",0.0027373
"FAM47C",0.0027309
"SARM1",0.0027131
"GCN1L1",0.0027086
"BAZ1A",0.0027006
"LOXHD1",0.0026994
"KLF7",0.0026985
"MYOM3",0.0026971
"TENM2",0.0026947
"BCOR",0.0026905
"PAPPA",0.0026899
"ZFHX3",0.0026764
"USP34",0.0026561
"DOCK6",0.0026561
"SIMC1",0.0026524
"CACHD1",0.0026292
"LCMT2",0.0026233
"WNK1",0.0026176
"MAPK8IP3",0.0026153
"IL18RAP",0.0026152
"HYDIN",0.0026083
"AGGF1",0.0025937
"PDE3A",0.0025886
"SDK2",0.0025774
"PDCD11",0.0025705
"ASCC3",0.0025687
"KIF13A",0.0025671
"FSTL4",0.0025639
"NOL6",0.0025601
"SPTA1",0.0025571
"PPFIA4",0.0025413
"MAGEC3",0.0025388
"MOB2",0.0025335
"RSF1",0.0025277
"DHX37",0.0025229
"CUL4B",0.0025179
"BAIAP2",0.0025154
"FAM66C",0.0025152
"FAM129B",0.0025112
"TTC7A",0.002511
"EVPL",0.0025103
"ALDH8A1",0.0025062
"ZFP28",0.0025029
"TP53",0.0024997
"C2orf16",0.0024982
"DMBT1",0.0024968
"CD300A",0.0024865
"ALPK2",0.0024795
"KCNH2",0.0024787
"PCDHB7",0.0024776
"CYP24A1",0.0024776
"MSH3",0.0024751
"MYO10",0.0024742
"TECTA",0.0024683
"STK11IP",0.0024656
"SYMPK",0.002459
"PLXNA2",0.0024576
"RP11-166B2.1",0.0024479
"ZFHX4",0.0024465
"RAB3GAP2",0.0024441
"ARHGAP23",0.0024391
"F5",0.0024247
"TARS2",0.0024239
"RP11-460N11.2",0.0024227
"ZCCHC5",0.0024205
"JARID2",0.0024009
"ZNF420",0.002397
"VPS13A",0.0023962
"RP3-470B24.5",0.002394
"KAT6B",0.002386
"PCDHA8",0.0023785
"KIAA2026",0.00237
"DHX32",0.0023658
"NT5C1B",0.0023562
"HSD17B7P2",0.002352
"YLPM1",0.0023469
"ADCY7",0.0023434
"UPF2",0.0023404
"OR4A21P",0.002328
"CCDC150",0.0023266
"PRDM8",0.0023207
"GFPT2",0.0023204
"PEG3",0.0023154
"IL1RL2",0.0022958
"MROH2B",0.0022939
"FLT3",0.0022891
"ZFP36L1",0.0022888
"GABRQ",0.0022839
"EGR3",0.0022776
"ZNF568",0.0022722
"NUMA1",0.0022719
"DDX55",0.0022666
"TLR8",0.002265
"RGS3",0.0022634
"PTPN13",0.0022601
"SELP",0.0022598
"MTMR4",0.0022576
"NBPF1",0.0022572
"PLCB4",0.0022541
"NKAIN4",0.0022523
"SLC15A5",0.0022458
"ABCA1",0.0022422
"KIAA1462",0.0022378
"GRIN2D",0.0022355
"SDK1",0.0022316
"GNPTAB",0.0022302
"AGO3",0.0022224
"CEP250",0.0022176
"TBX3",0.002216
"LRGUK",0.0022156
"PPP3CA",0.0022138
"PPP1R9A",0.0022119
"BAIAP3",0.0022118
"ERCC5",0.0022093
"PRND",0.0021998
"FREM1",0.0021926
"OR6A2",0.0021852
"CACNA2D2",0.0021829
"MYO1F",0.0021768
"SPEN",0.0021725
"GPR98",0.0021644
"LRRC16B",0.0021603
"TRAK1",0.0021598
"PRRX1",0.0021586
"COL4A1",0.0021568
"SYCP1",0.0021556
"CTNNBL1",0.0021534
"OSCP1",0.0021468
"MAGEB4",0.0021467
"NYNRIN",0.0021424
"MYCBPAP",0.0021347
"PTPN2",0.0021299
"ZNF594",0.0021294
"TPM1",0.0021274
"GCM2",0.0021267
"SMYD3",0.0021211
"TCF20",0.0021204
"TTYH2",0.00212
"FAT3",0.0021162
"ALDH1A3",0.0021158
"PTPRB",0.0021156
"MYPN",0.0021109
"TGM7",0.0021082
"LAMA2",0.0021075
"BOD1L1",0.002102
"CCDC180",0.0021007
"ABCA10",0.0020886
"MAST4",0.0020868
"CAD",0.0020862
"PDZRN3",0.0020842
"SCN7A",0.002079
"INPP5D",0.002079
"RIF1",0.0020697
"BCL9",0.0020686
"SLC4A11",0.0020615
"IL23R",0.0020545
"NINL",0.0020544
"NCAM1",0.0020537
"GPR112",0.0020515
"GOLGA3",0.0020475
"OCRL",0.0020427
"CCNF",0.0020386
"UGT1A6",0.0020384
"GLB1L3",0.0020308
"FAM120C",0.0020288
"PRR14L",0.0020256
"BCAR3",0.0020236
"RETSAT",0.0020236
"OR2G3",0.0020235
"NR5A2",0.0020214
"SORCS1",0.0020199
"SETD2",0.0020153
"APOB",0.0020127
"DPEP1",0.002011
"SIPA1L2",0.0020104
"ZDHHC17",0.0020059
"NAPA",0.0019984
"SLC39A6",0.0019957
"TCEB3",0.0019931
"KTN1",0.0019923
"LAMA1",0.0019871
"GRB10",0.0019803
"RBM19",0.00198
"ITM2A",0.0019799
"CASR",0.001973
"EMR2",0.0019696
"UBC",0.0019691
"MST1L",0.0019579
"ANKRD12",0.0019542
"CBLC",0.0019522
"KMT2E",0.0019477
"RP11-85G18.6",0.0019393
"BRD8",0.001938
"ZNF506",0.0019334
"SNX13",0.0019318
"PCDHA13",0.0019249
"RAD54B",0.0019235
"ITPR1",0.0019197
"FAM90A1",0.0019168
"DOCK7",0.0019161
"ETS2",0.0019132
"ENPP1",0.0019111
"DUOX1",0.0019105
"TTC24",0.001907
"ZSCAN21",0.0019039
"BMS1",0.0018996
"TSC22D1",0.0018989
"NTRK2",0.0018986
"CADPS",0.0018974
"CCDC175",0.001894
"GLT8D1",0.0018881
"PTPRD",0.0018869
"ENPP2",0.0018814
"PRKG2",0.0018714
"CNTN6",0.0018701
"TRAPPC9",0.0018699
"PLS3",0.0018652
"DMD",0.001865
"ROBO1",0.0018629
"ABAT",0.0018626
"CCT6B",0.0018594
"SUPT20HL2",0.0018573
"SYNE3",0.0018549
"LTBP4",0.0018526
"KIF17",0.0018524
"EPG5",0.0018459
"SSU72P3",0.001838
"CDH19",0.0018311
"SLC4A4",0.0018305
"RP11-432N13.4",0.0018246
"Y_RNA",0.0018231
"SF3B1",0.0018202
"C10orf71",0.001818
"HCFC1",0.0018166
"RGS7",0.0018132
"THSD7B",0.0018087
"UPF3B",0.0017968
"PREX2",0.0017945
"CSGALNACT1",0.0017941
"ARHGAP35",0.0017917
"TRIM46",0.0017892
"GPRIN2",0.0017872
"TTC29",0.0017837
"MYO16",0.0017814
"AC022498.1",0.0017796
"OR4D10",0.001777
"MEGF11",0.0017767
"MICAL3",0.0017738
"ABCB11",0.0017697
"AEBP1",0.0017652
"MYLK",0.0017634
"PRKRIR",0.0017588
"PCDHGB3",0.0017578
"MYH7",0.001756
"CNTN2",0.0017485
"ZNF454",0.0017484
"IMPG1",0.001748
"PCNT",0.0017412
"PCDHGA12",0.0017395
"PCDHA5",0.0017354
"AADAC",0.0017333
"PSD",0.0017305
"CIT",0.0017211
"AFF4",0.001721
"DDX11L8",0.0017196
"CTD-2245F17.3",0.0017174
"PCDHGA11",0.001716
"ERC2",0.0017094
"IGSF1",0.001708
"COL4A6",0.0017022
"AHNAK2",0.0016924
"ZBTB11",0.0016913
"CCR2",0.0016884
"PIK3R4",0.0016818
"WDR17",0.0016807
"PIP5K1C",0.0016797
"NCAN",0.0016773
"HNRNPF",0.0016757
"NUP155",0.0016724
"SLCO5A1",0.0016721
"CDK2AP2P2",0.0016644
"LINGO2",0.0016629
"NBEAL1",0.001658
"LSP1P3",0.0016547
"FAM134C",0.0016516
"MYO5B",0.001651
"RP11-69H14.6",0.0016495
"PITPNM1",0.0016493
"SLC25A13",0.0016472
"C1orf222",0.0016422
"LMAN2",0.001639
"DCAF12L1",0.0016383
"CD163L1",0.0016383
"FAT2",0.0016336
"PRAME",0.0016306
"HPS1",0.0016268
"ANKRD36C",0.0016257
"CA9",0.0016255
"PRMT10",0.0016228
"PPL",0.0016227
"C14orf37",0.0016126
"PQLC2",0.0016081
"ZNF878",0.0016071
"FBXO30",0.0016013
"DSP",0.0015999
"ABCA13",0.0015986
"TARBP1",0.0015902
"GRHL2",0.0015821
"CNTNAP5",0.0015794
"CDKN1B",0.0015745
"VPS13B",0.0015713
"RASA3",0.0015704
"MAGEE2",0.0015689
"PLCG1",0.0015686
"CDH9",0.0015672
"TPP1",0.0015663
"MCTP2",0.0015662
"RIMS2",0.0015584
"ZNF407",0.0015579
"KIF4A",0.0015577
"ZNF160",0.0015556
"SEC24C",0.001553
"PPP3CB",0.0015524
"ANKRD26",0.0015516
"GP1BA",0.0015507
"DOCK8",0.0015477
"KANSL3",0.0015433
"HLA-DQB2",0.0015428
"ZSCAN32",0.001536
"MEST",0.0015258
"LYSMD3",0.0015248
"ANKRD28",0.0015239
"ERV3-1",0.0015219
"ACACA",0.0015177
"ACSBG2",0.0015106
"CATSPERD",0.0015074
"AC011467.1",0.0015069
"GRIN2B",0.0015045
"COBLL1",0.0015044
"ELN",0.0014972
"HEATR3",0.0014941
"ATN1",0.0014924
"CCDC61",0.0014911
"GPSM2",0.0014908
"EML5",0.0014893
"TSHZ3",0.0014877
"SERPINA1",0.0014824
"INADL",0.0014774
"POLE",0.0014769
"CHSY3",0.0014766
"POLQ",0.0014763
"HDAC8",0.0014717
"DSG3",0.0014697
"RAI1",0.001465
"DYNC1H1",0.0014612
"ASXL2",0.0014608
"CHRNB2",0.0014605
"SEPT7P2",0.0014594
"SALL1",0.0014568
"DMPK",0.0014539
"KCNT1",0.0014481
"GTF2IRD2",0.0014473
"ASMTL",0.001447
"NKTR",0.0014467
"MET",0.001445
"ATG2B",0.0014445
"CSRNP1",0.0014391
"TTC21B",0.0014382
"ZCCHC2",0.0014344
"ITGA11",0.0014338
"PCDHB16",0.001433
"PIP4K2C",0.0014316
"EPB41L4A",0.0014283
"RGS12",0.0014281
"MYH4",0.001428
"NOTCH4",0.0014255
"HSPA4",0.0014204
"PLA2G4A",0.0014155
"COL19A1",0.0014154
"STON1",0.0014019
"CSMD3",0.0014004
"ITGA6",0.0013959
"SPATA13",0.0013946
"SMEK2",0.0013924
"TBL3",0.0013923
"WWC3",0.001391
"CARD11",0.0013866
"TRIP10",0.001385
"PUM2",0.0013847
"CEP170",0.0013833
"UTRN",0.0013811
"IL13RA2",0.0013808
"RAPGEF4",0.0013785
"CPT1A",0.0013741
"ITSN1",0.0013684
"PRDM1",0.0013677
"KIAA0319",0.0013676
"PHACTR2",0.0013674
"TMIGD2",0.0013653
"LIN9",0.0013631
"PPARGC1B",0.0013631
"FOXA1",0.0013609
"ATIC",0.0013588
"CAMKK1",0.0013587
"SLC45A2",0.0013545
"ANKRD34C",0.0013541
"LNX1",0.0013538
"GSPT1",0.0013536
"PKD1L1",0.0013507
"SEPHS2P1",0.0013486
"C4orf40",0.0013455
"NUP210",0.0013441
"N4BP2L2",0.0013423
"PPFIA2",0.0013402
"ITGA2",0.0013391
"MYH10",0.0013375
"SIPA1L1",0.001337
"ERBB2IP",0.0013364
"GMDS",0.0013358
"MCOLN1",0.0013307
"SEZ6L2",0.0013267
"PIK3C2B",0.001326
"LAMA5",0.0013207
"ZNF292",0.0013205
"MROH6",0.0013126
"PREX1",0.0013122
"FAT4",0.0013115
"SCFD1",0.0013113
"HIST1H2BC",0.0013051
"KMT2A",0.0013044
"DOCK11",0.0013032
"HERC1",0.0013029
"ZNF606",0.0012973
"INPP4B",0.0012968
"DAK",0.0012955
"SERPINA5",0.0012955
"KCNJ12",0.0012944
"PCDH7",0.0012944
"AKT3",0.0012924
"SBF2",0.001291
"PDZD2",0.0012901
"MED13",0.0012885
"CTD-2128F4.1",0.0012879
"PLA2G4F",0.0012876
"PDE4DIP",0.0012858
"ARID1A",0.0012854
"MAGI2",0.0012852
"ATRN",0.0012823
"NTNG1",0.0012822
"RNF43",0.0012817
"WDR47",0.0012815
"PI4KA",0.0012815
"UHRF1BP1L",0.0012786
"ABCA6",0.0012766
"FASTKD2",0.0012734
"PCED1B",0.0012734
"WDR33",0.0012728
"FAM186A",0.0012722
"ROBO2",0.0012689
"OR5AZ1P",0.0012688
"GOLGA4",0.001268
"BRAT1",0.0012676
"UBR1",0.0012665
"VCAN",0.0012653
"ENSG00000211459",0.0012648
"MLXIP",0.0012644
"TFPI2",0.001263
"KIF5A",0.0012619
"CYP4B1",0.0012606
"SERPINA4",0.0012591
"AFF3",0.0012588
"TNS1",0.0012583
"COL2A1",0.0012568
"PCDHB8",0.0012544
"RYR1",0.0012539
"SLC9A4",0.0012511
"OSMR",0.0012491
"ZSWIM2",0.0012447
"EML4",0.001244
"SCN1A",0.0012433
"CEP128",0.0012433
"BIRC6",0.00124
"FRY",0.0012391
"INSRR",0.0012377
"RP11-259G18.3",0.0012369
"TENM1",0.0012346
"CASP8",0.001234
"DGKG",0.0012329
"SNX25",0.0012319
"TMC5",0.0012314
"TAOK3",0.0012304
"HLA-A",0.0012251
"ASZ1",0.0012237
"MTSS1",0.0012217
"NECAB1",0.0012216
"TMEM131",0.0012207
"ERBB4",0.0012187
"CD1D",0.0012171
"NRDE2",0.0012138
"PLCZ1",0.0012133
"TRIM11",0.0012131
"MTO1",0.0012124
"MYOF",0.0012104
"EARS2",0.0012078
"AP3B1",0.0012071
"SCN5A",0.0012036
"ACSM5",0.0012036
"CCDC30",0.0012003
"C3",0.0012
"FAM155A",0.0011999
"HLA-DRB1",0.0011969
"MYO3A",0.0011952
"RABIF",0.0011905
"WDR66",0.0011864
"COL16A1",0.0011851
"FNBP1",0.0011839
"GPRASP2",0.0011778
"FNDC1",0.0011763
"PRX",0.0011737
"PLEKHG5",0.0011736
"LLGL2",0.0011712
"SLC44A5",0.0011681
"C6",0.0011673
"TEX15",0.0011672
"SUPT20HL1",0.0011672
"SLC13A1",0.0011669
"SPTBN2",0.0011667
"MYOM2",0.0011617
"SAMD9",0.001158
"TYK2",0.0011546
"PODN",0.0011522
"OR2T3",0.001152
"GNB3",0.0011518
"ERBB2",0.0011513
"RP11-430N14.4",0.0011509
"VPS13C",0.0011506
"F2",0.0011506
"GRIK2",0.0011444
"VNN1",0.0011442
"CEP192",0.0011427
"SNAPC4",0.0011416
"C19orf45",0.0011381
"KRT1",0.0011365
"SLC7A6OS",0.0011342
"DDR2",0.0011333
"DENND6A",0.0011319
"FOLR4",0.0011298
"NOD1",0.0011293
"DSPP",0.0011273
"ZNF609",0.0011264
"WNT7A",0.0011256
"MAPK4",0.0011248
"ADCY9",0.0011211
"BCORL1",0.0011201
"MAB21L1",0.0011151
"PHKG1P4",0.0011144
"AGT",0.0011119
"LMLN",0.0011102
"RP11-114H24.7",0.0011099
"MUC3A",0.0011088
"HGSNAT",0.0011035
"RORC",0.0011035
"NR3C2",0.0010982
"SPTB",0.0010974
"AKAP11",0.0010972
"LAMB3",0.0010965
"ZNF93",0.001095
"ADAMTS5",0.0010947
"ZNF131",0.0010933
"NRROS",0.0010921
"PZP",0.0010882
"ARFGEF2",0.0010866
"CELSR2",0.0010858
"LTBP1",0.0010857
"PRDM16",0.001085
"POLR3B",0.0010844
"CMYA5",0.0010823
"CCDC112",0.0010808
"PHEX",0.0010805
"TNRC6B",0.0010785
"MED13L",0.0010784
"TMEM189",0.0010773
"RFPL1",0.0010766
"ZCCHC12",0.0010763
"BTN2A3P",0.0010727
"NLRC3",0.0010725
"MADD",0.0010721
"AP1G2",0.0010718
"SLFN12L",0.0010696
"FARP2",0.0010691
