"geneName","geneScore"
"TP53",0.13138
"MAP3K1",0.11602
"USH2A",0.11143
"SYNE1",0.11088
"DNAH9",0.10818
"CROCCP2",0.10759
"RELN",0.10701
"WDFY3",0.10641
"MED13",0.10587
"FLG",0.10506
"MTOR",0.10504
"GOLGA4",0.10427
"CABIN1",0.10402
"CEP350",0.10354
"ATP1A4",0.10294
"C2orf16",0.10293
"TRIP11",0.10286
"NAV1",0.10271
"MLLT4",0.10248
"COX20",0.10243
"TRPC7",0.1024
"DENND1B",0.10197
"DNAH8",0.10172
"NALCN",0.10167
"DCC",0.10162
"TAF1",0.10161
"KIAA1109",0.10157
"KIAA0319",0.10147
"SRRM2",0.10139
"RNF20",0.101
"ARHGAP31",0.10082
"GSPT1",0.1008
"BRWD1",0.10076
"MYH15",0.10072
"TRIP12",0.10066
"CUL7",0.1006
"SRPR",0.10058
"SPHKAP",0.10045
"LRRC41",0.10043
"SORBS2",0.10036
"NUP153",0.1003
"PFKM",0.10007
"COL22A1",0.099817
"KIAA2022",0.099797
"VPS13B",0.099713
"KIF14",0.099687
"C12orf36",0.099664
"RPS17P5",0.099656
"UGGT2",0.099652
"BPTF",0.099495
"CROCC",0.099413
"DNAH11",0.099389
"FRAS1",0.099342
"SIPA1L1",0.099272
"RANBP6",0.099177
"ERCC6L",0.099166
"PKHD1",0.099159
"SHROOM3",0.099155
"PKP4",0.099145
"ZNF592",0.099112
"NTRK3",0.099112
"NAV3",0.099026
"CHD7",0.098916
"ABCA8",0.098907
"MAGEE2",0.098866
"AVPI1",0.098613
"INPP5B",0.098564
"ZFYVE26",0.09831
"FOXP1",0.098287
"AC090574.1",0.098273
"DZANK1",0.098269
"HPS4",0.098256
"ASXL2",0.098237
"HIST1H1C",0.098194
"POLQ",0.098155
"EFEMP1",0.098144
"FGA",0.098143
"MAGEC1",0.098123
"HERC5",0.098088
"OXGR1",0.09808
"EP300",0.098066
"PCSK5",0.097992
"ANKRD30B",0.09799
"ARFGEF2",0.0979
"RNF113A",0.097895
"ARHGAP17",0.097785
"ATXN10",0.09775
"CACNA1H",0.097623
"PCYT1B",0.097526
"MLH3",0.097484
"ARHGAP20",0.097395
"ARSB",0.097172
"ADCY8",0.097156
"PJA1",0.097041
"CMTR2",0.096976
"POM121",0.096633
"ZNF492",0.095377
"PIK3CA",0.017604
"TTN",0.013533
"HMCN1",0.013134
"Unknown",0.013067
"RYR2",0.011744
"ZFHX4",0.010317
"LPO",0.010174
"GATA3",0.0096494
"CACNA1E",0.0092673
"MUC16",0.0090997
"ITSN2",0.0090218
"APOB",0.009012
"EVPL",0.0086753
"THADA",0.0082567
"UHRF1BP1L",0.0080797
"ABCC4",0.0080147
"MUC17",0.0076948
"DMBT1",0.0076669
"RP11-32B5.1",0.007458
"KMT2C",0.0074128
"PAM",0.0073179
"ZFHX3",0.0072703
"SRCAP",0.0071433
"BRCA2",0.0071288
"PTEN",0.0071005
"IARS",0.0070907
"MGA",0.0069545
"ZNF609",0.0066676
"HUWE1",0.006608
"GPR64",0.006598
"RP11-32B5.7",0.0064653
"NEB",0.0063553
"ABR",0.0062621
"DMD",0.0062474
"PRAME",0.0062382
"COL4A6",0.0062271
"ATRX",0.0061969
"RNF213",0.0061747
"DAB2IP",0.0061323
"GNPTAB",0.006101
"FAT2",0.0060543
"MYOM2",0.0059937
"DNAH6",0.0059745
"CFH",0.0059194
"CCDC171",0.0058452
"ZNF131",0.0058254
"C7",0.0058193
"ERCC6",0.0057666
"SLC4A11",0.0057418
"RAD54B",0.0057283
"HIVEP1",0.0056983
"KANSL3",0.0056817
"GRIK2",0.0056648
"TG",0.0056341
"RAB3GAP2",0.0056159
"KTN1",0.0055958
"WDR33",0.0055952
"CACNA2D2",0.0055581
"UPF2",0.0055534
"GPR155",0.0054874
"VPS41",0.0054723
"EML5",0.0054603
"MYRIP",0.0054367
"ZNF658",0.005427
"CNTN2",0.0054249
