"clinival_var","score_clini"
"patient.breast_carcinoma_estrogen_receptor_statusnegative",1.47698746716232
"patient.breast_carcinoma_progesterone_receptor_statusnegative",2.22159689794447
"NA.54.59.",3.33485223655326
"X.clinical.patients..cols..Stage.IIA",3.69494406124867
"NA.64.70.",3.81521344269005
"X.clinical.patients..cols..Stage.IIB",3.83336759297435
"NA.43.49.",4.01220117772468
"X.clinical.patients..cols..Stage.IIIA",4.02282728179733
"X.clinical.patients..cols..Stage.IIIC",4.06126522601109
"NA.76.82.",4.16257853374744
