"clinival_var","score_clini"
"HER2.Final.StatusNegative",10.2811518119994
"patient.breast_carcinoma_progesterone_receptor_statusnegative",12.2334096181309
"Tumor.CodedT_other",12.8993166603939
"Node.CodedPositive",14.7843211475172
"NA.54.59.",16.4360811174734
"patient.breast_carcinoma_estrogen_receptor_statuspositive",16.6416405383067
"X.clinical.patients..cols..Stage.IIA",17.7120245194985
"NA.64.70.",18.1112537487304
"X.clinical.patients..cols..Stage.IIIA",18.2894787867648
"patient.breast_carcinoma_estrogen_receptor_statusnegative",18.4153347006325
