"clinival_var","score_clini"
"Tumor.CodedT_other",344.917575046136
"X.clinical.patients..cols..infiltrating.ductal.carcinoma",346.073919651341
"Node.CodedPositive",347.469873029791
"patient.breast_carcinoma_estrogen_receptor_statuspositive",349.65894122484
"patient.genderfemale",349.908070879574
"patient.breast_carcinoma_progesterone_receptor_statuspositive",352.141019294686
"X.clinical.patients..cols..No_Conversion",353.538236009676
"HER2.Final.StatusPositive",356.342834340737
"NA.36.43.",360.975532959987
"HER2.Final.StatusNegative",422.022743759005
