"clinival_var","score_clini"
"X.clinical.patients..cols..mixed.histology..please.specify.",-0.00373928671461666
"patient.ethnicityhispanic.or.latino",-0.00427408482370056
"X.clinical.patients..cols..infiltrating.lobular.carcinoma",-0.00532815287996693
"NA.82.89.",-0.00646076252899376
"HER2.Final.StatusEquivocal",-0.00931458584904077
"Metastasis.CodedPositive",-0.0150032668998149
"X.clinical.patients..cols..Stage.IIIC",-0.0197992362525286
"X.clinical.patients..cols..other..specify",-0.0226119758286
"NA.26.36.",-0.0262550782947995
"X.clinical.patients..cols..Stage.IIIA",-0.0327480759441815
