"clinival_var","score_clini"
"HER2.Final.StatusNegative",369.80934750688
"Tumor.CodedT_other",373.483223764479
"patient.breast_carcinoma_progesterone_receptor_statuspositive",373.626921415139
"X.clinical.patients..cols..infiltrating.ductal.carcinoma",374.171618705192
"patient.breast_carcinoma_estrogen_receptor_statuspositive",374.852777262194
"Node.CodedPositive",375.680638655106
"X.clinical.patients..cols..No_Conversion",377.37070690978
"NA.49.54.",377.542775136229
"patient.genderfemale",377.642525144497
"patient.breast_carcinoma_progesterone_receptor_statusnegative",454.215094995548
