"clinival_var","score_clini"
"patient.ethnicityhispanic.or.latino",-0.000778739963272906
"X.clinical.patients..cols..other..specify",-0.000841502888192927
"NA.82.89.",-0.00102982174608086
"X.clinical.patients..cols..mixed.histology..please.specify.",-0.00109070736599614
"X.clinical.patients..cols..infiltrating.lobular.carcinoma",-0.0011254110496972
"X.clinical.patients..cols..Stage.IIIC",-0.00218510157006154
"Metastasis.CodedPositive",-0.00290375980201239
"NA.70.76.",-0.00310092675696452
"NA.43.49.",-0.00312563082897503
"NA.26.36.",-0.00383164187714992
