"clinival_var","score_clini"
"patient.ethnicityhispanic.or.latino",-0.00835217965107359
"X.clinical.patients..cols..Stage.IIIC",-0.0108359432087715
"HER2.Final.StatusEquivocal",-0.0147571622782128
"Metastasis.CodedPositive",-0.01733040584562
"NA.82.89.",-0.0177386052766813
"X.clinical.patients..cols..mixed.histology..please.specify.",-0.0189845413633223
"X.clinical.patients..cols..other..specify",-0.0205491845217586
"NA.26.36.",-0.0337767442791075
"patient.breast_carcinoma_estrogen_receptor_statusnegative",-0.0417191477791136
"NA.70.76.",-0.0587622061381261
