"clinival_var","score_clini"
"X.clinical.patients..cols..infiltrating.ductal.carcinoma",344.520354510733
"patient.breast_carcinoma_estrogen_receptor_statuspositive",345.999450271806
"patient.breast_carcinoma_progesterone_receptor_statuspositive",347.589406079737
"patient.genderfemale",347.969798426264
"Node.CodedPositive",348.643436506133
"X.clinical.patients..cols..No_Conversion",350.032734306538
"HER2.Final.StatusPositive",352.305424280218
"NA.59.64.",353.644228823659
"Tumor.CodedT_other",421.13269734798
"HER2.Final.StatusNegative",425.326254801968
