"clinival_var","score_clini"
"X.clinical.patients..cols..Stage.IIA",1.73489578040903
"patient.breast_carcinoma_progesterone_receptor_statusnegative",2.24948641856188
"patient.breast_carcinoma_estrogen_receptor_statusnegative",2.84507250255743
"NA.54.59.",3.14195209290118
"NA.64.70.",3.15252712085729
"X.clinical.patients..cols..Stage.I",3.61617382794389
"X.clinical.patients..cols..Stage.IIIA",3.93944573312177
"X.clinical.patients..cols..Stage.IIB",4.01682890320783
"NA.43.49.",4.37860727337513
"NA.76.82.",4.4126547987123
