"clinival_var","score_clini"
"patient.breast_carcinoma_estrogen_receptor_statusnegative",1.72811691781935
"NA.54.59.",2.73108060350614
"patient.breast_carcinoma_progesterone_receptor_statusnegative",2.83764717171364
"X.clinical.patients..cols..Stage.IIB",3.04583204023274
"NA.64.70.",3.12359190603647
"X.clinical.patients..cols..Stage.IIIC",3.18753885218625
"NA.43.49.",3.19942162876394
"X.clinical.patients..cols..Stage.IIIA",3.22239130622896
"NA.76.82.",3.27456125096526
"NA.26.36.",3.30239369758879
