"gene","geneScore"
"TTN",0.185652846552433
"DST",0.153071133834007
"RTTN",0.124888462954929
"MAP2K4",0.124404202155643
"ADCY5",0.122781348861884
"GYS1",0.121955332800557
"PIWIL1",0.121942732725249
"NID1",0.121180609328981
"CSMD1",0.121153372446737
"XPO7",0.120996314365964
"QRICH2",0.117287309577312
"CUL7",0.115990504046904
"SUPT6H",0.113967595585457
"GRIN2A",0.112729538149235
"CACNA1I",0.111871017824567
"ITGB2",0.11083956578753
"SHD",0.110832936759112
"TPO",0.110806306826451
"MBD1",0.110512171451756
"HIVEP2",0.110185491184414
"GALNTL5",0.110041399694771
"DENND1B",0.109695182790071
"LAMA3",0.109101276982734
"ARHGAP29",0.108764132346423
"GBF1",0.108513337031153
"GLTSCR1L",0.10817905586003
"TENM3",0.108112882615404
"SLC34A2",0.107867395193689
"MEGF8",0.107832818616746
"SLC9A7P1",0.107784802058699
"MYT1L",0.107540335415697
"HGFAC",0.107425053948842
"FLNC",0.107023654499414
"ATP13A4",0.106373533093965
"SCN3A",0.106169798337471
"TRO",0.106090229919851
"UBE3C",0.105961631668552
"GDI1",0.105920086517969
"CDH20",0.105824944933499
"DCAF4L2",0.105720524765813
"LOXL3",0.105475936055849
"PRUNE2",0.105265902177265
"FLII",0.105208262515544
"BIRC7",0.104981208709454
"EPAS1",0.104915287153327
"GRM3",0.104609007821615
"GOLGA6L7P",0.104449668895391
"SEC24B",0.104428234744564
"LGR5",0.104404458801251
"PRKD3",0.104295890709076
"WDR72",0.104195095717857
"LRP4",0.10409393214771
"INTS8",0.104055789346076
"MED23",0.103843192588626
"TRAF7",0.103807489144339
"PDE6B",0.103630653406568
"MTHFD1",0.103610538523538
"PJA1",0.103389441814836
"MUC5B",0.10337550462738
"ADAM29",0.102843477814886
"CENPE",0.102825626305816
"CNKSR2",0.102762725844325
"AP4M1",0.102629593019038
"LCT",0.10253729495795
"PCDHGA3",0.102523831438562
"SQSTM1",0.102353654545019
"RRP12",0.10219314420571
"KDM6A",0.102074038215473
"ZCCHC6",0.102063348541194
"OSBPL1A",0.102028871979306
"GALNT11",0.102027309432237
"SOGA2",0.102021311898631
"KLHL7",0.101738907853111
"DALRD3",0.101682851042746
"FAM208A",0.101498725670196
"MCM3AP",0.101229666852619
"FOXM1",0.101104113377134
"RPS5",0.101066268380121
"POLR2B",0.100939063968645
"NLGN3",0.100931680286628
"CHD5",0.100881827684128
"PCDHGB7",0.100867831883964
"TBCD",0.100814551345108
"CAMSAP3",0.100614695245411
"FAM47A",0.100247558733846
"TACC2",0.100196952980704
"FKBP15",0.0999815202507092
"ABCC1",0.0999046886364232
"LAS1L",0.0999028928746378
"SEC24D",0.0998579151467355
"IDS",0.0998411230401107
"NALCN",0.0998002885440842
"KIAA1549L",0.0993823388996373
"GPR101",0.0990677883713705
"RFX6",0.0988069713397859
"MYH15",0.0984135311492056
"PTPRF",0.0981163128110761
"UBA6",0.0980851778479722
"TMEM74",0.0977929642424624
"SLC27A4",0.0972324368842445
