"gene","geneScore"
"Unknown",0.177855241899516
"MUC16",0.130547174251245
"TTN",0.122222166144248
"RP5-1182A14.5",0.121344203798233
"PCNXL2",0.120426748301533
"BRCA2",0.120232973874647
"PREX2",0.119244355292343
"UBR4",0.116257233866044
"MYH11",0.116196578961463
"CSMD2",0.114817726528232
"DSCAML1",0.114135411499478
"TCHH",0.113628788240499
"C1orf65",0.112521650785748
"PLEC",0.11184716289901
"ZSCAN32",0.11168189067539
"COL6A6",0.111626737944813
"ABCC12",0.111314966529363
"RELN",0.111175241126339
"OR2G3",0.110681078380872
"MUC5B",0.110312729374134
"HSD17B4",0.110122044986833
"MROH7",0.1099536107839
"UNC5D",0.10888332071217
"NUP98",0.108721912883167
"SMEK2",0.10869232464218
"LINC00869",0.108598983015153
"DDX12P",0.108589124671634
"ADAMTS6",0.108584571463764
"BAI1",0.108534769933359
"ANKRD50",0.108181207107157
"LETM1",0.108025757112873
"TTYH2",0.108007312366729
"EPN3",0.107810865451905
"DALRD3",0.107799465352941
"AC116050.1",0.107649628730788
"XIRP1",0.107525817948679
"ANKRD36C",0.107313653104194
"DNAH5",0.107303167744363
"ABCA4",0.107289203110026
"CELSR2",0.10709445595542
"COL12A1",0.10699840761587
"HRCT1",0.106963249095977
"ZNF318",0.106789627270559
"PTCHD3",0.106689058502971
"ACSM5",0.106665495324762
"CSPP1",0.106641310011753
"RP1L1",0.106480236212839
"GRIA1",0.106207945789007
"EEF2",0.106080176519238
"HERC2P4",0.10573125458196
"ARMCX1",0.105713262724318
"ABCA6",0.105677611197946
"NPAT",0.105629947043859
"RAI1",0.105387126671473
"PLCL2",0.105174243151991
"AGT",0.105139389794581
"AHCTF1",0.105127814708589
"TECPR2",0.105086423098214
"ZNF438",0.105050411450723
"SNTG2",0.105033082964196
"BAHD1",0.105009130288238
"CYP4F11",0.104944498506592
"SLC22A11",0.104783678491611
"ADAMTS19",0.104654515305373
"SLITRK6",0.104524928053804
"HSPA4",0.104478739244732
"IDI1",0.104162362088201
"POLR2A",0.104117143804601
"NUDCD3",0.104098187723953
"ASPH",0.1040679584681
"GRIN2C",0.103970925213367
"CLSTN2",0.103871214172375
"AKAP6",0.103287436831116
"PDGFRA",0.103174592809336
"SMG1",0.103041302720746
"CXorf22",0.103035870681922
"TMEM247",0.103030933505993
"KLRG2",0.102968911736952
"MYO7B",0.102755002867644
"HSPG2",0.102690419692354
"AGL",0.102689743582386
"PCSK9",0.102644215958213
"NBAS",0.102629216733337
"CASR",0.102620616824531
"VASN",0.102478976908233
"TTC3",0.102364618843246
"BRPF3",0.102280992023528
"TAS2R16",0.102276756547375
"WDR33",0.102150792961521
"ALK",0.101970831938611
"HEATR1",0.101964236101923
"SMARCA4",0.101868695370252
"TCF12",0.101835710898961
"KIAA0195",0.101793547255943
"LRRN2",0.101248938061932
"NTNG1",0.10098348341366
"DOCK2",0.100891437932037
"UGT2B15",0.100744752644782
"LMOD1",0.100479582856775
"HERC5",0.100433164317636
