"gene","geneScore"
"TP53",1.16767452424151
"TTN",0.140379154962755
"BRCA1",0.0995742317688394
"FLG",0.0940415762982498
"OBSCN",0.0936054915490833
"USH2A",0.0828254509783257
"FAT3",0.0823990367969634
"Unknown",0.0721834606956481
"SPTA1",0.0704099189438871
"MUC16",0.06399545029807
"ENSG00000210082",0.0613391675194079
"MACF1",0.0538979740450075
"XIRP2",0.053621685298939
"DNAH7",0.052585176427674
"AFF2",0.0525478620091713
"MUC4",0.0513101663716112
"SVIL",0.0510048917676481
"LRP2",0.0496127755298564
"SYNE1",0.0493386230773035
"KIAA1210",0.0482196495412616
"DOCK11",0.0481377631178334
"NEB",0.0473443691227107
"CACNA1B",0.0470844886265287
"MLLT4",0.0460593091425864
"ATP10B",0.0460077432921928
"ZFHX4",0.0458438437911447
"DNAH3",0.0433904666525207
"SEMA5A",0.0431841326054818
"FRAS1",0.0414540451063569
"AMPD1",0.040847897450828
"CCAR1",0.040635865826187
"ZNF536",0.0402239515823563
"SCN7A",0.0398580304772263
"KCNA1",0.0394353073573086
"RGAG1",0.0393700529626789
"AKAP9",0.0391141730761641
"LAMA5",0.0390900050273948
"ABCA13",0.0388520135110895
"PLXNA4",0.038649757393975
"MUC12",0.0386452157266733
"GOLGB1",0.0385061545101177
"ANK1",0.0384453836063054
"ENSG00000210195",0.0383387541401576
"RYR2",0.0380117547235428
"COL6A3",0.0380025300537381
"SSPO",0.0379501354535902
"DSP",0.0377951304040453
"MYH14",0.0376689574051661
"EGFR",0.0371011463249548
"CSPG4P11",0.0368740573985056
"DNAH10",0.0368600464608911
"DNAH2",0.0365521177955934
"ARID1B",0.0364839051950348
"CACNA1F",0.0364383328597061
"MUC17",0.0362727506375222
"HRNR",0.0360120100684849
"PCDH15",0.0359988801717839
"HECW1",0.0356553429536435
"F5",0.0355591006430563
"BANK1",0.0353594909024806
"ASXL3",0.0352356273964315
"DLC1",0.0351931194023363
"SI",0.0351599571493465
"FAM179A",0.0347091156910196
"HIF3A",0.034590871066769
"NEK10",0.0345789539299097
"SETDB1",0.0344622275427359
"COL5A2",0.034289189254547
"KIF4A",0.0340412058289056
"DNAH9",0.0340007013872791
"CBLB",0.0339831613470312
"EYS",0.0339477279075902
"DCC",0.0336573840087088
"ZMYM4",0.0336572841033832
"PIK3R1",0.0335792990251606
"CR1",0.0333791036753742
"NALCN",0.0333682472341673
"C8orf31",0.0332704811069785
"EFHC2",0.0331625762922112
"KDM5C",0.0331622804442741
"ATP11A",0.0330346173372369
"CSMD3",0.0330039359928943
"OR5I1",0.0328145767645337
"CASC5",0.0327328840198118
"FRY",0.0326929083222062
"UNC5C",0.0326790815638425
"CPXM1",0.0326645148052101
"HECTD4",0.0326580416332093
"FBN1",0.0326109153613447
"WDR52",0.0325934629975187
"PTPRB",0.0325270857844542
"SCN2A",0.0324968609360464
"UTRN",0.0323975397589254
"HYDIN",0.0323231880206599
"TAF1",0.0321328482483618
"KAT6B",0.0321276026075971
"PTPRZ1",0.0321246205831806
"DMD",0.0320320853358925
"TG",0.0318924228165206
"NCKAP5",0.0317200992184125
